date,fund_name,nav,cap,fund_type
2013-01-02,DSP Midcap Fund,20.542,Mid Cap,Equity
2013-01-03,DSP Midcap Fund,20.619,Mid Cap,Equity
2013-01-04,DSP Midcap Fund,20.648,Mid Cap,Equity
2013-01-05,DSP Midcap Fund,20.648,Mid Cap,Equity
2013-01-06,DSP Midcap Fund,20.648,Mid Cap,Equity
2013-01-07,DSP Midcap Fund,20.687,Mid Cap,Equity
2013-01-08,DSP Midcap Fund,20.72,Mid Cap,Equity
2013-01-09,DSP Midcap Fund,20.658,Mid Cap,Equity
2013-01-10,DSP Midcap Fund,20.577,Mid Cap,Equity
2013-01-11,DSP Midcap Fund,20.265,Mid Cap,Equity
2013-01-12,DSP Midcap Fund,20.265,Mid Cap,Equity
2013-01-13,DSP Midcap Fund,20.265,Mid Cap,Equity
2013-01-14,DSP Midcap Fund,20.419,Mid Cap,Equity
2013-01-15,DSP Midcap Fund,20.419,Mid Cap,Equity
2013-01-16,DSP Midcap Fund,20.121,Mid Cap,Equity
2013-01-17,DSP Midcap Fund,20.133,Mid Cap,Equity
2013-01-18,DSP Midcap Fund,20.02,Mid Cap,Equity
2013-01-19,DSP Midcap Fund,20.02,Mid Cap,Equity
2013-01-20,DSP Midcap Fund,20.02,Mid Cap,Equity
2013-01-21,DSP Midcap Fund,19.973,Mid Cap,Equity
2013-01-22,DSP Midcap Fund,19.909,Mid Cap,Equity
2013-01-23,DSP Midcap Fund,19.797,Mid Cap,Equity
2013-01-24,DSP Midcap Fund,19.343,Mid Cap,Equity
2013-01-25,DSP Midcap Fund,19.653,Mid Cap,Equity
2013-01-26,DSP Midcap Fund,19.653,Mid Cap,Equity
2013-01-27,DSP Midcap Fund,19.653,Mid Cap,Equity
2013-01-28,DSP Midcap Fund,19.566,Mid Cap,Equity
2013-01-29,DSP Midcap Fund,19.485,Mid Cap,Equity
2013-01-30,DSP Midcap Fund,19.492,Mid Cap,Equity
2013-01-31,DSP Midcap Fund,19.515,Mid Cap,Equity
2013-02-01,DSP Midcap Fund,19.502,Mid Cap,Equity
2013-02-02,DSP Midcap Fund,19.502,Mid Cap,Equity
2013-02-03,DSP Midcap Fund,19.502,Mid Cap,Equity
2013-02-04,DSP Midcap Fund,19.365,Mid Cap,Equity
2013-02-05,DSP Midcap Fund,19.208,Mid Cap,Equity
2013-02-06,DSP Midcap Fund,19.135,Mid Cap,Equity
2013-02-07,DSP Midcap Fund,18.942,Mid Cap,Equity
2013-02-08,DSP Midcap Fund,18.789,Mid Cap,Equity
2013-02-09,DSP Midcap Fund,18.789,Mid Cap,Equity
2013-02-10,DSP Midcap Fund,18.789,Mid Cap,Equity
2013-02-11,DSP Midcap Fund,18.802,Mid Cap,Equity
2013-02-12,DSP Midcap Fund,18.789,Mid Cap,Equity
2013-02-13,DSP Midcap Fund,18.775,Mid Cap,Equity
2013-02-14,DSP Midcap Fund,18.494,Mid Cap,Equity
2013-02-15,DSP Midcap Fund,18.499,Mid Cap,Equity
2013-02-16,DSP Midcap Fund,18.499,Mid Cap,Equity
