fund_name,date,nav,daily_return
DSP Midcap Fund,2025-10-09,165.121,
DSP Midcap Fund,2025-10-10,165.252,0.0007933575983671837
DSP Midcap Fund,2025-10-11,165.252,0.0
DSP Midcap Fund,2025-10-12,165.252,0.0
DSP Midcap Fund,2025-10-13,165.529,0.0016762278217510307
DSP Midcap Fund,2025-10-14,164.372,-0.006989711772559359
DSP Midcap Fund,2025-10-15,165.919,0.009411578614362481
DSP Midcap Fund,2025-10-16,166.018,0.0005966766916385424
DSP Midcap Fund,2025-10-17,165.196,-0.004951270344179526
DSP Midcap Fund,2025-10-18,165.196,0.0
DSP Midcap Fund,2025-10-19,165.196,0.0
DSP Midcap Fund,2025-10-20,166.26,0.006440833918496702
DSP Midcap Fund,2025-10-21,166.26,0.0
DSP Midcap Fund,2025-10-22,166.26,0.0
DSP Midcap Fund,2025-10-23,166.223,-0.0002225430049318522
DSP Midcap Fund,2025-10-24,165.605,-0.0037178970419257107
DSP Midcap Fund,2025-10-25,165.605,0.0
DSP Midcap Fund,2025-10-26,165.605,0.0
DSP Midcap Fund,2025-10-27,167.45,0.011140967965943105
DSP Midcap Fund,2025-10-28,167.138,-0.0018632427590324907
DSP Midcap Fund,2025-10-29,167.774,0.0038052387847167246
HDFC Corporate Bond Fund,2025-10-09,33.8816,
HDFC Corporate Bond Fund,2025-10-10,33.8948,0.0003895919909331358
HDFC Corporate Bond Fund,2025-10-11,33.8948,0.0
HDFC Corporate Bond Fund,2025-10-12,33.8948,0.0
HDFC Corporate Bond Fund,2025-10-13,33.9271,0.0009529485348787059
HDFC Corporate Bond Fund,2025-10-14,33.9347,0.0002240097149475151
HDFC Corporate Bond Fund,2025-10-15,33.9593,0.0007249216878297826
HDFC Corporate Bond Fund,2025-10-16,33.964,0.00013840096821793324
HDFC Corporate Bond Fund,2025-10-17,33.9727,0.0002561535743730303
HDFC Corporate Bond Fund,2025-10-18,33.9727,0.0
HDFC Corporate Bond Fund,2025-10-19,33.9727,0.0
HDFC Corporate Bond Fund,2025-10-20,33.9855,0.0003767731148833775
HDFC Corporate Bond Fund,2025-10-21,33.9855,0.0
HDFC Corporate Bond Fund,2025-10-22,33.9855,0.0
HDFC Corporate Bond Fund,2025-10-23,33.9806,-0.00014417913521935777
HDFC Corporate Bond Fund,2025-10-24,33.9696,-0.0003237141192328208
HDFC Corporate Bond Fund,2025-10-25,33.9696,0.0
HDFC Corporate Bond Fund,2025-10-26,33.9696,0.0
HDFC Corporate Bond Fund,2025-10-27,33.9787,0.0002678865809431219
HDFC Corporate Bond Fund,2025-10-28,33.9859,0.0002118974534046636
HDFC Corporate Bond Fund,2025-10-29,33.996,0.0002971820666806124
HDFC Large and Mid Cap Fund,2025-10-09,362.296,
HDFC Large and Mid Cap Fund,2025-10-10,363.633,0.0036903526398304187
HDFC Large and Mid Cap Fund,2025-10-11,363.633,0.0
HDFC Large and Mid Cap Fund,2025-10-12,363.633,0.0
HDFC Large and Mid Cap Fund,2025-10-13,363.108,-0.0014437633548110007
HDFC Large and Mid Cap Fund,2025-10-14,360.77,-0.006438855657270093
HDFC Large and Mid Cap Fund,2025-10-15,364.108,0.009252432297585766
HDFC Large and Mid Cap Fund,2025-10-16,366.234,0.005838926911795328
HDFC Large and Mid Cap Fund,2025-10-17,365.759,-0.001296984987740002
HDFC Large and Mid Cap Fund,2025-10-18,365.759,0.0
HDFC Large and Mid Cap Fund,2025-10-19,365.759,0.0
HDFC Large and Mid Cap Fund,2025-10-20,367.677,0.005243890102499149
HDFC Large and Mid Cap Fund,2025-10-21,367.677,0.0
HDFC Large and Mid Cap Fund,2025-10-22,367.677,0.0
HDFC Large and Mid Cap Fund,2025-10-23,368.161,0.0013163727945995074
HDFC Large and Mid Cap Fund,2025-10-24,367.05,-0.0030177014947264658
HDFC Large and Mid Cap Fund,2025-10-25,367.05,0.0
HDFC Large and Mid Cap Fund,2025-10-26,367.05,0.0
HDFC Large and Mid Cap Fund,2025-10-27,369.618,0.006996322026971757
HDFC Large and Mid Cap Fund,2025-10-28,369.501,-0.0003165430255021029
HDFC Large and Mid Cap Fund,2025-10-29,371.78,0.006167777624417781
ICICI Prudential Balanced Advantage Fund,2025-10-09,84.44,
ICICI Prudential Balanced Advantage Fund,2025-10-10,84.62,0.002131691141639136
ICICI Prudential Balanced Advantage Fund,2025-10-11,84.62,0.0
ICICI Prudential Balanced Advantage Fund,2025-10-12,84.62,0.0
ICICI Prudential Balanced Advantage Fund,2025-10-13,84.57,-0.0005908768612622461
ICICI Prudential Balanced Advantage Fund,2025-10-14,84.48,-0.0010642071656614682
ICICI Prudential Balanced Advantage Fund,2025-10-15,84.87,0.004616477272727293
ICICI Prudential Balanced Advantage Fund,2025-10-16,85.18,0.0036526452221044003
ICICI Prudential Balanced Advantage Fund,2025-10-17,85.33,0.00176097675510678
ICICI Prudential Balanced Advantage Fund,2025-10-18,85.33,0.0
ICICI Prudential Balanced Advantage Fund,2025-10-19,85.33,0.0
ICICI Prudential Balanced Advantage Fund,2025-10-20,85.57,0.002812609867572924
ICICI Prudential Balanced Advantage Fund,2025-10-21,85.57,0.0
ICICI Prudential Balanced Advantage Fund,2025-10-22,85.57,0.0
ICICI Prudential Balanced Advantage Fund,2025-10-23,85.64,0.0008180437069067459
ICICI Prudential Balanced Advantage Fund,2025-10-24,85.59,-0.0005838393274170128
ICICI Prudential Balanced Advantage Fund,2025-10-25,85.59,0.0
ICICI Prudential Balanced Advantage Fund,2025-10-26,85.59,0.0
ICICI Prudential Balanced Advantage Fund,2025-10-27,85.9,0.003621918448416972
ICICI Prudential Balanced Advantage Fund,2025-10-28,85.71,-0.002211874272409875
ICICI Prudential Balanced Advantage Fund,2025-10-29,85.88,0.001983432504958582
ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund),2025-10-09,122.56,
ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund),2025-10-10,123.07,0.004161227154046987
ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund),2025-10-11,123.07,0.0
