fund_name,horizon,cagr,downside_std,sortino
DSP Midcap Fund,Since Inception,0.17797945627483003,0.11072400893068003,1.02
DSP Midcap Fund,1Y,0.060377573141365604,0.10645268672171762,-0.04
DSP Midcap Fund,3Y,0.20963269060654044,0.0968399816406258,1.49
DSP Midcap Fund,5Y,0.20718232648382884,0.10039778367748377,1.42
DSP Midcap Fund,10Y,0.1620820700736143,0.10913333964169099,0.89
HDFC Corporate Bond Fund,Since Inception,0.08147770931443254,0.01138489311023564,1.45
HDFC Corporate Bond Fund,1Y,0.08166927570539495,0.0061395319748944665,2.72
HDFC Corporate Bond Fund,3Y,0.08209539299448676,0.004634519239802088,3.69
HDFC Corporate Bond Fund,5Y,0.06488670104575966,0.007266408169055081,-0.02
HDFC Corporate Bond Fund,10Y,0.07833707757032737,0.00943009320911077,1.41
HDFC Large and Mid Cap Fund,Since Inception,0.14254321354754862,0.11318309455691485,0.69
HDFC Large and Mid Cap Fund,1Y,0.0706099176409607,0.09252844549555733,0.06
HDFC Large and Mid Cap Fund,3Y,0.22459225124422932,0.0927831642493364,1.72
HDFC Large and Mid Cap Fund,5Y,0.2805057226294527,0.10310513583509373,2.09
HDFC Large and Mid Cap Fund,10Y,0.15662080794197508,0.1137372333861243,0.81
ICICI Prudential Balanced Advantage Fund,Since Inception,0.13260163465554475,0.061440392201923336,1.1
ICICI Prudential Balanced Advantage Fund,1Y,0.10984750581545621,0.03347681918378298,1.34
ICICI Prudential Balanced Advantage Fund,3Y,0.1431726712529422,0.0312327913421559,2.5
ICICI Prudential Balanced Advantage Fund,5Y,0.1557502914250406,0.03464081302160059,2.62
ICICI Prudential Balanced Advantage Fund,10Y,0.12257093940114139,0.06286521530795942,0.92
ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund),Since Inception,0.16087330189228788,0.10064351745609795,0.95
ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund),1Y,0.08140032525892327,0.06804308033827891,0.24
ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund),3Y,0.1932619499278334,0.07078961705122466,1.81
ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund),5Y,0.23028788665933186,0.08261358447333227,2.0
ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund),10Y,0.15662530242013295,0.10235889701937066,0.9
Nippon India Small Cap Fund,Since Inception,0.25045918057138783,0.12160549486695112,1.53
Nippon India Small Cap Fund,1Y,0.0029202045802412258,0.11283918421716219,-0.55
Nippon India Small Cap Fund,3Y,0.2442365457745781,0.1101795468058059,1.63
Nippon India Small Cap Fund,5Y,0.3414288583796432,0.11699806694541537,2.36
Nippon India Small Cap Fund,10Y,0.21675903852878253,0.12486001388643946,1.22
SBI Large & Midcap Fund,Since Inception,0.17414256078810797,0.10367508911908867,1.05
SBI Large & Midcap Fund,1Y,0.08097379238868663,0.07947396345186097,0.2
SBI Large & Midcap Fund,3Y,0.18299226730085194,0.07619795330014119,1.55
SBI Large & Midcap Fund,5Y,0.25019749564302884,0.08671057703647794,2.14
SBI Large & Midcap Fund,10Y,0.16028796676390322,0.10495765792522722,0.91
UTI Nifty 50 Index Fund,Since Inception,0.1313261642508745,0.10549445482710888,0.63
UTI Nifty 50 Index Fund,1Y,0.07615774582582246,0.07118776889488505,0.16
UTI Nifty 50 Index Fund,3Y,0.14614737101330322,0.07435270128268893,1.09
UTI Nifty 50 Index Fund,5Y,0.1855906507578331,0.08793569151051005,1.37
UTI Nifty 50 Index Fund,10Y,0.1345774313757535,0.10737337116433919,0.65
