fund_name,nav_date,nav_value
DSP Midcap Fund – Direct Plan – Growth,2013-01-02,20.542
DSP Midcap Fund – Direct Plan – Growth,2013-01-03,20.619
DSP Midcap Fund – Direct Plan – Growth,2013-01-04,20.648
DSP Midcap Fund – Direct Plan – Growth,2013-01-07,20.687
DSP Midcap Fund – Direct Plan – Growth,2013-01-08,20.72
DSP Midcap Fund – Direct Plan – Growth,2013-01-09,20.658
DSP Midcap Fund – Direct Plan – Growth,2013-01-10,20.577
DSP Midcap Fund – Direct Plan – Growth,2013-01-11,20.265
DSP Midcap Fund – Direct Plan – Growth,2013-01-14,20.419
DSP Midcap Fund – Direct Plan – Growth,2013-01-15,20.419
DSP Midcap Fund – Direct Plan – Growth,2013-01-16,20.121
DSP Midcap Fund – Direct Plan – Growth,2013-01-17,20.133
DSP Midcap Fund – Direct Plan – Growth,2013-01-18,20.02
DSP Midcap Fund – Direct Plan – Growth,2013-01-21,19.973
DSP Midcap Fund – Direct Plan – Growth,2013-01-22,19.909
DSP Midcap Fund – Direct Plan – Growth,2013-01-23,19.797
DSP Midcap Fund – Direct Plan – Growth,2013-01-24,19.343
DSP Midcap Fund – Direct Plan – Growth,2013-01-25,19.653
DSP Midcap Fund – Direct Plan – Growth,2013-01-28,19.566
DSP Midcap Fund – Direct Plan – Growth,2013-01-29,19.485
DSP Midcap Fund – Direct Plan – Growth,2013-01-30,19.492
DSP Midcap Fund – Direct Plan – Growth,2013-01-31,19.515
DSP Midcap Fund – Direct Plan – Growth,2013-02-01,19.502
DSP Midcap Fund – Direct Plan – Growth,2013-02-04,19.365
DSP Midcap Fund – Direct Plan – Growth,2013-02-05,19.208
DSP Midcap Fund – Direct Plan – Growth,2013-02-06,19.135
DSP Midcap Fund – Direct Plan – Growth,2013-02-07,18.942
DSP Midcap Fund – Direct Plan – Growth,2013-02-08,18.789
DSP Midcap Fund – Direct Plan – Growth,2013-02-11,18.802
DSP Midcap Fund – Direct Plan – Growth,2013-02-12,18.789
DSP Midcap Fund – Direct Plan – Growth,2013-02-13,18.775
DSP Midcap Fund – Direct Plan – Growth,2013-02-14,18.494
DSP Midcap Fund – Direct Plan – Growth,2013-02-15,18.499
DSP Midcap Fund – Direct Plan – Growth,2013-02-18,18.621
DSP Midcap Fund – Direct Plan – Growth,2013-02-19,18.797
DSP Midcap Fund – Direct Plan – Growth,2013-02-20,18.809
DSP Midcap Fund – Direct Plan – Growth,2013-02-21,18.496
DSP Midcap Fund – Direct Plan – Growth,2013-02-22,18.477
DSP Midcap Fund – Direct Plan – Growth,2013-02-25,18.303
DSP Midcap Fund – Direct Plan – Growth,2013-02-26,18.008
DSP Midcap Fund – Direct Plan – Growth,2013-02-27,18.093
DSP Midcap Fund – Direct Plan – Growth,2013-02-28,17.648
DSP Midcap Fund – Direct Plan – Growth,2013-03-01,17.67
DSP Midcap Fund – Direct Plan – Growth,2013-03-04,17.477
DSP Midcap Fund – Direct Plan – Growth,2013-03-05,17.777
DSP Midcap Fund – Direct Plan – Growth,2013-03-06,17.997
DSP Midcap Fund – Direct Plan – Growth,2013-03-07,18.079
DSP Midcap Fund – Direct Plan – Growth,2013-03-08,18.207
DSP Midcap Fund – Direct Plan – Growth,2013-03-11,18.203
DSP Midcap Fund – Direct Plan – Growth,2013-03-12,18.163
DSP Midcap Fund – Direct Plan – Growth,2013-03-13,17.968
DSP Midcap Fund – Direct Plan – Growth,2013-03-14,18.068
DSP Midcap Fund – Direct Plan – Growth,2013-03-15,17.958
DSP Midcap Fund – Direct Plan – Growth,2013-03-18,17.861
DSP Midcap Fund – Direct Plan – Growth,2013-03-19,17.647
DSP Midcap Fund – Direct Plan – Growth,2013-03-20,17.331
DSP Midcap Fund – Direct Plan – Growth,2013-03-21,17.186
DSP Midcap Fund – Direct Plan – Growth,2013-03-22,17.103
DSP Midcap Fund – Direct Plan – Growth,2013-03-25,17.081
DSP Midcap Fund – Direct Plan – Growth,2013-03-26,17.066
DSP Midcap Fund – Direct Plan – Growth,2013-03-28,17.299
DSP Midcap Fund – Direct Plan – Growth,2013-04-01,17.553
DSP Midcap Fund – Direct Plan – Growth,2013-04-02,17.827
DSP Midcap Fund – Direct Plan – Growth,2013-04-03,17.665
DSP Midcap Fund – Direct Plan – Growth,2013-04-04,17.322
DSP Midcap Fund – Direct Plan – Growth,2013-04-05,17.312
DSP Midcap Fund – Direct Plan – Growth,2013-04-08,17.358
DSP Midcap Fund – Direct Plan – Growth,2013-04-09,17.209
DSP Midcap Fund – Direct Plan – Growth,2013-04-10,17.248
DSP Midcap Fund – Direct Plan – Growth,2013-04-11,17.293
DSP Midcap Fund – Direct Plan – Growth,2013-04-12,17.252
DSP Midcap Fund – Direct Plan – Growth,2013-04-15,17.327
DSP Midcap Fund – Direct Plan – Growth,2013-04-16,17.437
DSP Midcap Fund – Direct Plan – Growth,2013-04-17,17.448
DSP Midcap Fund – Direct Plan – Growth,2013-04-18,17.577
DSP Midcap Fund – Direct Plan – Growth,2013-04-22,17.808
DSP Midcap Fund – Direct Plan – Growth,2013-04-23,17.715
DSP Midcap Fund – Direct Plan – Growth,2013-04-25,17.799
DSP Midcap Fund – Direct Plan – Growth,2013-04-26,17.723
DSP Midcap Fund – Direct Plan – Growth,2013-04-29,17.774
DSP Midcap Fund – Direct Plan – Growth,2013-04-30,17.849
DSP Midcap Fund – Direct Plan – Growth,2013-05-02,18.012
DSP Midcap Fund – Direct Plan – Growth,2013-05-03,17.898
DSP Midcap Fund – Direct Plan – Growth,2013-05-06,18.02
DSP Midcap Fund – Direct Plan – Growth,2013-05-07,18.201
DSP Midcap Fund – Direct Plan – Growth,2013-05-08,18.274
DSP Midcap Fund – Direct Plan – Growth,2013-05-09,18.174
DSP Midcap Fund – Direct Plan – Growth,2013-05-10,18.18
DSP Midcap Fund – Direct Plan – Growth,2013-05-13,18.053
DSP Midcap Fund – Direct Plan – Growth,2013-05-14,18.137
DSP Midcap Fund – Direct Plan – Growth,2013-05-15,18.394
DSP Midcap Fund – Direct Plan – Growth,2013-05-16,18.498
DSP Midcap Fund – Direct Plan – Growth,2013-05-17,18.447
DSP Midcap Fund – Direct Plan – Growth,2013-05-20,18.397
DSP Midcap Fund – Direct Plan – Growth,2013-05-21,18.276
DSP Midcap Fund – Direct Plan – Growth,2013-05-22,18.011
DSP Midcap Fund – Direct Plan – Growth,2013-05-23,17.656
DSP Midcap Fund – Direct Plan – Growth,2013-05-24,17.717
DSP Midcap Fund – Direct Plan – Growth,2013-05-27,17.865
DSP Midcap Fund – Direct Plan – Growth,2013-05-28,18.051
DSP Midcap Fund – Direct Plan – Growth,2013-05-29,17.99
DSP Midcap Fund – Direct Plan – Growth,2013-05-30,18.002
DSP Midcap Fund – Direct Plan – Growth,2013-05-31,17.775
DSP Midcap Fund – Direct Plan – Growth,2013-06-03,17.717
DSP Midcap Fund – Direct Plan – Growth,2013-06-04,17.69
DSP Midcap Fund – Direct Plan – Growth,2013-06-05,17.67
DSP Midcap Fund – Direct Plan – Growth,2013-06-06,17.666
DSP Midcap Fund – Direct Plan – Growth,2013-06-07,17.678
DSP Midcap Fund – Direct Plan – Growth,2013-06-10,17.54
DSP Midcap Fund – Direct Plan – Growth,2013-06-11,17.236
DSP Midcap Fund – Direct Plan – Growth,2013-06-12,17.086
DSP Midcap Fund – Direct Plan – Growth,2013-06-13,16.889
DSP Midcap Fund – Direct Plan – Growth,2013-06-14,17.126
DSP Midcap Fund – Direct Plan – Growth,2013-06-17,17.195
DSP Midcap Fund – Direct Plan – Growth,2013-06-18,17.321
DSP Midcap Fund – Direct Plan – Growth,2013-06-19,17.378
DSP Midcap Fund – Direct Plan – Growth,2013-06-20,17.066
DSP Midcap Fund – Direct Plan – Growth,2013-06-21,16.869
DSP Midcap Fund – Direct Plan – Growth,2013-06-24,16.396
DSP Midcap Fund – Direct Plan – Growth,2013-06-25,16.418
DSP Midcap Fund – Direct Plan – Growth,2013-06-26,16.344
DSP Midcap Fund – Direct Plan – Growth,2013-06-27,16.408
DSP Midcap Fund – Direct Plan – Growth,2013-06-28,16.644
DSP Midcap Fund – Direct Plan – Growth,2013-07-01,16.985
DSP Midcap Fund – Direct Plan – Growth,2013-07-02,17.021
DSP Midcap Fund – Direct Plan – Growth,2013-07-03,16.84
DSP Midcap Fund – Direct Plan – Growth,2013-07-04,16.993
DSP Midcap Fund – Direct Plan – Growth,2013-07-05,17.048
DSP Midcap Fund – Direct Plan – Growth,2013-07-08,16.917
DSP Midcap Fund – Direct Plan – Growth,2013-07-09,17.023
DSP Midcap Fund – Direct Plan – Growth,2013-07-10,17.116
DSP Midcap Fund – Direct Plan – Growth,2013-07-11,17.199
DSP Midcap Fund – Direct Plan – Growth,2013-07-12,17.197
DSP Midcap Fund – Direct Plan – Growth,2013-07-15,17.369
DSP Midcap Fund – Direct Plan – Growth,2013-07-16,17.169
DSP Midcap Fund – Direct Plan – Growth,2013-07-17,17.085
DSP Midcap Fund – Direct Plan – Growth,2013-07-18,17.106
DSP Midcap Fund – Direct Plan – Growth,2013-07-19,16.962
DSP Midcap Fund – Direct Plan – Growth,2013-07-22,16.958
DSP Midcap Fund – Direct Plan – Growth,2013-07-23,16.921
DSP Midcap Fund – Direct Plan – Growth,2013-07-24,16.624
DSP Midcap Fund – Direct Plan – Growth,2013-07-25,16.547
DSP Midcap Fund – Direct Plan – Growth,2013-07-26,16.415
DSP Midcap Fund – Direct Plan – Growth,2013-07-29,16.265
DSP Midcap Fund – Direct Plan – Growth,2013-07-30,15.944
DSP Midcap Fund – Direct Plan – Growth,2013-07-31,15.842
DSP Midcap Fund – Direct Plan – Growth,2013-08-01,15.703
DSP Midcap Fund – Direct Plan – Growth,2013-08-02,15.625
DSP Midcap Fund – Direct Plan – Growth,2013-08-05,15.509
DSP Midcap Fund – Direct Plan – Growth,2013-08-06,15.026
DSP Midcap Fund – Direct Plan – Growth,2013-08-07,15.105
DSP Midcap Fund – Direct Plan – Growth,2013-08-08,15.287
DSP Midcap Fund – Direct Plan – Growth,2013-08-12,15.498
DSP Midcap Fund – Direct Plan – Growth,2013-08-13,15.655
DSP Midcap Fund – Direct Plan – Growth,2013-08-14,15.823
DSP Midcap Fund – Direct Plan – Growth,2013-08-16,15.495
DSP Midcap Fund – Direct Plan – Growth,2013-08-19,15.319
DSP Midcap Fund – Direct Plan – Growth,2013-08-20,15.257
DSP Midcap Fund – Direct Plan – Growth,2013-08-21,15.104
DSP Midcap Fund – Direct Plan – Growth,2013-08-22,15.169
DSP Midcap Fund – Direct Plan – Growth,2013-08-23,15.291
DSP Midcap Fund – Direct Plan – Growth,2013-08-26,15.437
DSP Midcap Fund – Direct Plan – Growth,2013-08-27,15.136
DSP Midcap Fund – Direct Plan – Growth,2013-08-28,14.918
DSP Midcap Fund – Direct Plan – Growth,2013-08-29,15.054
DSP Midcap Fund – Direct Plan – Growth,2013-08-30,15.028
